CustomerID,FirstName,LastName,DateOfBirth,AddressID,CustomerTypeID,FullName,Age,Age_Group
10832,Nyla,Aguirre,1974-02-07 00:00:00.000000,881,1,Nyla Aguirre,51,Adult
10983,Unknow,Battle,1963-02-01 00:00:00.000000,958,2,Unknow Battle,62,Senior
10837,Angelena,Harrington,1964-03-25 00:00:00.000000,86,3,Angelena Harrington,61,Senior
10107,Remona,Glass,1965-09-16 00:00:00.000000,595,1,Remona Glass,60,Adult
10553,King,Becker,1966-02-20 00:00:00.000000,969,3,King Becker,59,Adult
10867,Mathew,Kinney,1997-06-26 00:00:00.000000,866,3,Mathew Kinney,28,Young Adult
10861,Roderick,Mckee,1980-02-04 00:00:00.000000,604,3,Roderick Mckee,45,Adult
10964,Jewell,Flowers,1978-05-31 00:00:00.000000,700,3,Jewell Flowers,47,Adult
10578,Shizuko,Boyer,2000-08-23 00:00:00.000000,635,3,Shizuko Boyer,25,Young Adult
10148,Avelina,Barker,1997-10-27 00:00:00.000000,28,2,Avelina Barker,28,Young Adult
10790,Cliff,Short,1969-01-14 00:00:00.000000,193,3,Cliff Short,57,Adult
10125,Amberly,Bowen,2000-01-27 00:00:00.000000,982,2,Amberly Bowen,25,Young Adult
10233,Nisha,unknow,1999-09-15 00:00:00.000000,591,1,Nisha unknow,26,Young Adult
10234,Eduardo,Goff,1968-11-17 00:00:00.000000,85,1,Eduardo Goff,57,Adult
10961,Audrea,French,1962-03-29 00:00:00.000000,670,1,Audrea French,63,Senior
10671,Sherell,Hamilton,1996-07-14 00:00:00.000000,1041,1,Sherell Hamilton,29,Young Adult
10682,Ambrose,Harrison,1976-06-29 00:00:00.000000,455,1,Ambrose Harrison,49,Adult
10533,Rodolfo,Fitzgerald,1988-02-12 00:00:00.000000,634,2,Rodolfo Fitzgerald,37,Adult
10523,Phil,Clay,1999-11-02 00:00:00.000000,479,3,Phil Clay,26,Young Adult
10131,Quintin,Wheeler,1976-01-21 00:00:00.000000,1201,1,Quintin Wheeler,50,Adult
10575,Mel,Hobbs,1992-12-18 00:00:00.000000,143,1,Mel Hobbs,33,Young Adult
10941,Lamont,Mcgowan,2000-03-16 00:00:00.000000,87,2,Lamont Mcgowan,25,Young Adult
10252,Loralee,Dodson,1988-10-13 00:00:00.000000,1058,1,Loralee Dodson,37,Adult
10830,Unknow,Burt,1992-06-29 00:00:00.000000,1169,2,Unknow Burt,33,Young Adult
10223,Ray,Farmer,1998-01-11 00:00:00.000000,193,1,Ray Farmer,28,Young Adult
10922,Adan,Benton,1997-07-29 00:00:00.000000,841,1,Adan Benton,28,Young Adult
10048,Matthew,Mcclure,1991-01-16 00:00:00.000000,615,2,Matthew Mcclure,35,Young Adult
10001,Sherrell,Barlow,1969-06-07 00:00:00.000000,560,2,Sherrell Barlow,56,Adult
10013,Eric,Franks,1966-04-14 00:00:00.000000,849,3,Eric Franks,59,Adult
10165,Dominique,Allison,1984-04-28 00:00:00.000000,1176,1,Dominique Allison,41,Adult
10466,Bruce,Branch,1988-02-11 00:00:00.000000,675,1,Bruce Branch,37,Adult
10938,Graham,Dalton,1999-05-01 00:00:00.000000,400,1,Graham Dalton,26,Young Adult
10641,Gino,Hopkins,1964-11-23 00:00:00.000000,740,2,Gino Hopkins,61,Senior
10222,Verline,Kelley,1980-05-02 00:00:00.000000,699,3,Verline Kelley,45,Adult
